Extension,Count,Percentage,Category,Examples
ver.rtf,99,0.01%,Unkategorisiert,Threeun1.ver.rtf; Threeuni.ver.rtf; Threeuni.ver.rtf
ctc.png,97,0.01%,Unkategorisiert,Bridgepi.ctc.PNG; Bridgepi.ctc.PNG; Bridgepi.ctc.PNG
ca.rtf,94,0.01%,Unkategorisiert,Intro_ex.ca.rtf; Secondex.ca.rtf; ULRICHEX.CA.rtf
doc.doc,93,0.01%,Unkategorisiert,"Potential Trouble Source Routing PE141065.doc.doc; Potential Trouble Source Routing PE141065.doc.doc; 5311C03 01ACC 51 THE LOGICS, PART II.DOC.doc"
ifo,91,0.01%,Unkategorisiert,VTS_01_0.IFO; VTS_01_0.IFO; VIDEO_TS.IFO
eps,87,0.01%,Unkategorisiert,DSC00316a.eps; DSC00346a.eps; DSC00341a.eps
mdb,87,0.01%,📊 Daten,040926 eBib_Daten_BE vor.mdb; Kopie von eBib_Daten_BE 1.mdb; loc97.mdb
aug.pdf,87,0.01%,Unkategorisiert,Ot17_407.aug.pdf; Ot17_407.aug.pdf; Ot17_407.aug.pdf
org,84,0.00%,Unkategorisiert,WWWMONRO.ORG; WWWMONRO.ORG; WWWGURDJ.ORG
cab,83,0.00%,📦 Archive,mw Firmware Upgrade.CAB; data1.cab; mw File Converter.CAB
ter.rtf,82,0.00%,Unkategorisiert,Wrighti1.ter.rtf; Notes_af.ter.rtf; Notes_af.ter.rtf
lta.rtf,82,0.00%,Unkategorisiert,Briefing.lta.rtf; Briefing.lta.rtf; Briefing.lta.rtf
pm,80,0.00%,Unkategorisiert,XML.pm; XML.pm; XML.pm
mp3.zip,78,0.00%,Unkategorisiert,710118-3_The_Product_-_Org_Officer_System_Part2_r.mp3.zip; 701117-1_Welcome_to_the_Flag_Executive_Briefing_Course_r.mp3.zip; 700802-1_A_Short_Briefing_of_Guardians_Office_Technical_Personnel.mp3.zip
ndx,77,0.00%,Unkategorisiert,new.ndx; new.ndx; new.ndx
xps,76,0.00%,Unkategorisiert,Why government attacs religion.xps; Why government attacs religion.xps; ._Preisliste 1976.xps
sht.rtf,76,0.00%,Unkategorisiert,_pspa_ck.sht.rtf; _pspa_ck.sht.rtf; _pspa_ck.sht.rtf
ngs.rtf,76,0.00%,Unkategorisiert,Mest_bei.ngs.rtf; Mest_bei.ngs.rtf; Mest_bei.ngs.rtf
tep.rtf,73,0.00%,Unkategorisiert,Phxprocs.tep.rtf; Phxprocs.tep.rtf; Phxprocs.tep.rtf
pjs,72,0.00%,Unkategorisiert,NowhereMan.PJS; NowhereMan.PJS; DancingInDark.PJS
rt2.pdf,72,0.00%,Unkategorisiert,Tb_12cha.rt2.pdf; Tb12_cha.rt2.pdf; Tb12_cha.rt2.pdf
rt1.pdf,72,0.00%,Unkategorisiert,Tb12_cha.rt1.pdf; Tb12_cha.rt1.pdf; Tb_12cha.rt1.pdf
idx,71,0.00%,Unkategorisiert,index1.idx; index1.idx; index1.idx
wdb,70,0.00%,Unkategorisiert,vitam-a.wdb; vitam-a.wdb; dummyadr.wdb
php,68,0.00%,💻 Code,safe_image(1).php; som.php; aohm.php
cnf,68,0.00%,Unkategorisiert,structure.cnf; structure.cnf; structure.cnf
sup,67,0.00%,Unkategorisiert,0603-PDC.SUP; 0601-PDC.SUP; 0601-PDC.SUP
wmf,67,0.00%,Unkategorisiert,PCGEIST2.WMF; Vorlage10.WMF; bild2.wmf
trn,67,0.00%,Unkategorisiert,data.trn; data.trn; data.trn
une.rtf,66,0.00%,Unkategorisiert,Ot_1719j.une.rtf; Ot_1717j.une.rtf; Ot_1717j.une.rtf
sts.rtf,66,0.00%,Unkategorisiert,Stack_li.sts.rtf; Stack_li.sts.rtf; Soloassi.sts.rtf
row.png,65,0.00%,Unkategorisiert,Doublear.row.PNG; Right_ar.row.PNG; Right_ar.row.PNG
pt8.rtf,65,0.00%,Unkategorisiert,Ot4010se.pt8.rtf; Ot4010se.pt8.rtf; Ot4010se.pt8.rtf
plc,65,0.00%,Unkategorisiert,style.plc; style.plc; style.plc
script,64,0.00%,Unkategorisiert,doubt.script; doubt.script; doubt.script
ard.rtf,64,0.00%,Unkategorisiert,Phoenixc.ard.rtf; Phoenixc.ard.rtf; Phoenixc.ard.rtf
ors.rtf,64,0.00%,Unkategorisiert,The_fact.ors.rtf; INC_2ERR.ORS.rtf; INC_2ERR.ORS.rtf
gif.1,63,0.00%,Unkategorisiert,h-pilot.gif.1; h-pilot.gif.1; h-pilot.gif.1
cha.pdf,63,0.00%,Unkategorisiert,Otlevels.cha.pdf; Otlevels.cha.pdf; Otlevels.cha.pdf
ron,62,0.00%,Unkategorisiert,SECRETL1.RON; SECRETL1.RON; REVIEWOF.RON
inf,62,0.00%,Unkategorisiert,SETUP.INF; themes.inf; themes.inf
cyc.rtf,60,0.00%,Unkategorisiert,Exerptcl.cyc.rtf; Theclone.cyc.rtf; Theclone.cyc.rtf
tic.rtf,60,0.00%,Unkategorisiert,Gmcotsta.tic.rtf; Supersta.tic.rtf; Supersta.tic.rtf
h,58,0.00%,💻 Code,"self clearing- a handbook for self enlightenment, by the pilot.h; self clearing- a handbook for self enlightenment, by the pilot.h; self clearing- a handbook for self enlightenment, by the pilot.h"
pr.rtf,58,0.00%,Unkategorisiert,Spforots.pr.rtf; Spforots.pr.rtf; Spforots.pr.rtf
ugp.pdf,58,0.00%,Unkategorisiert,Ot_4027a.ugp.pdf; Ot_4027a.ugp.pdf; Ot_4027a.ugp.pdf
tx,57,0.00%,Unkategorisiert,SEF17-18.TX; SEF17-18.TX; SEF17-18.TX
dec.rtf,57,0.00%,Unkategorisiert,FREEZONE.DEC.rtf; FREEZONE.DEC.rtf; FREEZONE.DEC.rtf
dra.pdf,57,0.00%,Unkategorisiert,Galaxyba.dra.pdf; Confed.dra.pdf; Galaxy.dra.pdf
pac,55,0.00%,Unkategorisiert,581018 Die Geschichte der Dianetik und Scn.PAC; 581018 Die Geschichte der Dianetik und Scn.PAC; 1978.PAC
swf,54,0.00%,Unkategorisiert,CACHE518.SWF; CACHE518.SWF; CACHE648.SWF
men.rtf,54,0.00%,Unkategorisiert,Endpheno.men.rtf; Endpheno.men.rtf; Endpheno.men.rtf
mov,53,0.00%,🎬 Video,DC_06.MOV; CC_11.MOV; Scientology.mov
opy.rtf,53,0.00%,Unkategorisiert,Gil_ulrc.opy.rtf; Gil_ulrc.opy.rtf; Gil_ulrc.opy.rtf
wer.rtf,52,0.00%,Unkategorisiert,Intro_po.wer.rtf; Intro_po.wer.rtf; Intro_po.wer.rtf
y.rtf,52,0.00%,Unkategorisiert,Telepath.y.rtf; Lp_1_cop.y.rtf; Lp_1_cop.y.rtf
prp.rtf,52,0.00%,Unkategorisiert,Theimpof.prp.rtf; Theimpof.prp.rtf; Theimpof.prp.rtf
hdr,51,0.00%,Unkategorisiert,_sys1.hdr; _sys1.hdr; _sys1.hdr
sh,51,0.00%,🔧 System,batch.sh; convert-them.sh; copyto-1.sh
hee.rtf,51,0.00%,Unkategorisiert,SSCHECKS.HEE.rtf; SSCHECKS.HEE.rtf; OT2DATAS.HEE.rtf
json,50,0.00%,💻 Code,590604 6LACC Clearing by Communication Processes - Special Problems.json; 6012C31 AHMC-01  The Genus of Dianetics and Scientology 24.json; FAQ.json
7ma.rtf,50,0.00%,Unkategorisiert,Ot12_132.7ma.rtf; Ot12_132.7ma.rtf; Ot12_132.7ma.rtf
cpr.pdf,50,0.00%,Unkategorisiert,Prestati.cpr.pdf; Prestati.cpr.pdf; Prestati.cpr.pdf
vtt,49,0.00%,Unkategorisiert,590513 6LACC Second Lecture on Clearing Methodology 590513 orig tape.vtt; Iwan-Intro.vtt; 01 Lecture 9  Games Applied to Processing Techniques  560214.vtt
mobi,49,0.00%,📄 Text,Dianetik_Die_moderne_Wissenschaft_der_geistigen_Gesundheit_Ron_Hubbard.mobi; Mission Earth 08 - Disaster - L Ron Hubbard.mobi; THE PHOENIX LECTURES - 1968.mobi
ts.rtf,49,0.00%,Unkategorisiert,BLACK_NO.TS.rtf; BLACK_NO.TS.rtf; BLACK_NO.TS.rtf
xcf,48,0.00%,Unkategorisiert,35 Thumbnail-Image.xcf; 690000 9-Div-Orgboard corrected.xcf; 720610 Flag Grade_Chart_1972 Rev1.xcf
rch.rtf,48,0.00%,Unkategorisiert,EXCALIB1.RCH.rtf; EXCALIB1.RCH.rtf; EXCALIB1.RCH.rtf
pro.rtf,47,0.00%,Unkategorisiert,Newexcal.pro.rtf; Newexcal.pro.rtf; Newexcal.pro.rtf
ame.rtf,47,0.00%,Unkategorisiert,New_civg.ame.rtf; New_civg.ame.rtf; New_civg.ame.rtf
ex.rtf,46,0.00%,Unkategorisiert,Ckshtnew.ex.rtf; Ckshtnew.ex.rtf; Ckshtnew.ex.rtf
net,46,0.00%,Unkategorisiert,_WWWXENU.NET; _WWWXENU.NET; _WWWXENU.NET
mma.pdf,46,0.00%,Unkategorisiert,Foldersu.mma.pdf; Foldersu1.mma.pdf; Foldersu1.mma.pdf
low.rtf,46,0.00%,Unkategorisiert,Gravityf.low.rtf; Gravityf.low.rtf; Gravityf.low.rtf
html.tmp,45,0.00%,Unkategorisiert,Robert Anton Wilson - Cosmic Trigger.html.tmp; Thy Kingdom Come - No 8.html.tmp; 1192017-000 --- 69-680 --- Section 1 (1108960).html.tmp
lng,45,0.00%,Unkategorisiert,Ocatext.lng; Ocatext.lng; Ocatext.lng
jpg.jpg,45,0.00%,Unkategorisiert,glider.jpg.jpg; lafewatr.jpg.jpg; asf1950.jpg.jpg
iso,44,0.00%,📦 Archive,2006 LRH Bday.iso; 2012 LRH BDay.ISO; 2011 Dn Day.iso
psd,44,0.00%,🖼️ Bilder,contact.psd; TravelMotion.psd; prices.psd
5au.rtf,44,0.00%,Unkategorisiert,Ot35_401.5au.rtf; Ot35_401.5au.rtf; Ot35_402.5au.rtf
jun.rtf,44,0.00%,Unkategorisiert,Ulr_2312.jun.rtf; Ulr_2312.jun.rtf; Ulr_2312.jun.rtf
ict.png,44,0.00%,Unkategorisiert,Bridge_p.ict.PNG; Bridge_p.ict.PNG; Bridge_p.ict.PNG
gs.rtf,44,0.00%,Unkategorisiert,False_co.gs.rtf; Why_bein.gs.rtf; Why_bein.gs.rtf
4au.rtf,44,0.00%,Unkategorisiert,Ot34_403.4au.rtf; Ot34_402.4au.rtf; Ot34_402.4au.rtf
ews.rtf,44,0.00%,Unkategorisiert,Excal_xn.ews.rtf; Excal_xn.ews.rtf; Excal_xn.ews.rtf
0au.rtf,44,0.00%,Unkategorisiert,Ot34_403.0au.rtf; Ot34_402.0au.rtf; Ot34_403.0au.rtf
h.rtf,44,0.00%,Unkategorisiert,Ot_3_cks.h.rtf; Ot_3_cks.h.rtf; Ot_3_cks.h.rtf
ess.rtf,44,0.00%,Unkategorisiert,Ot17exps.ess.rtf; Ot17exps.ess.rtf; Ot17exps.ess.rtf
ies.rtf,44,0.00%,Unkategorisiert,Liabili1.ies.rtf; Liabili1.ies.rtf; Liabili1.ies.rtf
1au.rtf,44,0.00%,Unkategorisiert,Ot35_402.1au.rtf; Ot35_402.1au.rtf; Ot35_402.1au.rtf
one.rtf,44,0.00%,Unkategorisiert,Resurrcl.one.rtf; Resurrcl.one.rtf; Resurrcl.one.rtf
lan.rtf,44,0.00%,Unkategorisiert,LOGICALP.LAN.rtf; Logicalp.lan.rtf; Logicalp.lan.rtf
eat.rtf,43,0.00%,Unkategorisiert,Bodyswcr.eat.rtf; Bodyswcr.eat.rtf; Bodyswcr.eat.rtf
ali.rtf,43,0.00%,Unkategorisiert,Ulr42tot.ali.rtf; Spineexc.ali.rtf; Spineexc.ali.rtf
mpl.rtf,43,0.00%,Unkategorisiert,Bodyswsi.mpl.rtf; Bodyswsi.mpl.rtf; Bodyswsi.mpl.rtf
cdr,43,0.00%,Unkategorisiert,рекламка это - вы.cdr; визитки со списком из СА.cdr; Vollst„ndige Tonskala.cdr
zon,43,0.00%,Unkategorisiert,._HP OCA Template.zon; HP OCA Template.zon; HP OCA Template.zon
8de.rtf,43,0.00%,Unkategorisiert,Csjavier.8de.rtf; Csjavier.8de.rtf; Csjavier.8de.rtf
zag.png,43,0.00%,Unkategorisiert,Left_zig.zag.PNG; Left_zig.zag.PNG; Left_zig.zag.PNG
d.rtf,42,0.00%,Unkategorisiert,TRAINROA.D.rtf; TRUTHGRA.D.rtf; TRUTHGRA.D.rtf
_tech.jpg,42,0.00%,Unkategorisiert,._tech.jpg; ._tech.jpg; ._tech.jpg
iza.rtf,42,0.00%,Unkategorisiert,Exterio1.iza.rtf; Exterio1.iza.rtf; Exterio1.iza.rtf
den.rtf,42,0.00%,Unkategorisiert,BASICTEN.DEN.rtf; BASICTEN.DEN.rtf; Basicten.den.rtf
eb.rtf,42,0.00%,Unkategorisiert,EP_EACH_.EB.rtf; EP_EACH_.EB.rtf; EP_EACH_.EB.rtf
r.rtf,42,0.00%,Unkategorisiert,Chron_wb.r.rtf; Ot_rolle.r.rtf; Chron_wb.r.rtf
cgi,41,0.00%,Unkategorisiert,js.cgi; js.cgi; js.cgi
clr.rtf,40,0.00%,Unkategorisiert,Prestati.clr.rtf; Prestati.clr.rtf; Prestati.clr.rtf
not.pdf,40,0.00%,Unkategorisiert,Ot141516.not.pdf; Ot141516.not.pdf; Ot141516.not.pdf
